Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
ACE,50,242,214.85,10742.5,-1357.5,-11.22,5.14
ADVENZYMES,1,412.85,270.2,270.2,-142.65,-34.55,-1.46
ASIANPAINT,15,3025,2646,39690,-5685,-12.53,-1.22
ASTRAL,20,2416.85,1645.35,32907,-15429.95,-31.92,-2.42
BANKBEES,100,371.33,331.51,33151,-3982,-10.72,-1.19
BHARTIARTL,20,586,643.5,12870,1150,9.81,-1.65
CAMS,20,2940.88,2325.05,46501,-12316.5,-20.94,-3.26
CAPLIPOINT,100,809.73,673.05,67305,-13667.5,-16.88,-0.45
CDSL,50,1362.4,1085.05,54252.5,-13867.5,-20.36,-1.34
CENTENKA,62,566.99,432,26784,-8369.2,-23.81,-1.34
CENTURYTEX,52,967.89,740.05,38482.6,-11847.9,-23.54,-1.57
CONFIPET,400,72.1,49.15,19660,-9180,-31.83,-0.41
COSMOFILMS,32,1740.78,920.9,29468.8,-26236.2,-47.1,-2
CPSEETF,1214,24.69,31.75,38544.5,8565.98,28.57,-1.21
DWARKESH,250,76.9,94.05,23512.5,4287.5,22.3,-1.05
FCONSUMER,1100,9.95,1.92,2112,-8833,-80.7,-4.48
GLOBUSSPR,28,1696.36,903.25,25291,-22207.15,-46.75,-1.32
GLS,20,720,441.85,8837,-5563,-38.63,0.3
GOLDBEES,4989,41.51,43.61,217570.29,10479.96,5.06,-0.57
GRINDWELL,30,1579.32,1524.95,45748.5,-1631,-3.44,-0.07
GUFICBIO,300,236.32,213.55,64065,-6831.55,-9.64,-0.58
GUJGASLTD,60,624,412.15,24729,-12711,-33.95,-2.07
HDFCLIFE,1160,593.13,554,642640,-45393.98,-6.6,-1.85
HERANBA,50,820,526.4,26320,-14680,-35.8,1.06
HSCL,250,60.5,59.3,14825,-300,-1.98,-1.08
IDFCFIRSTB,701,49.43,29.4,20609.4,-14041.6,-40.52,-3.29
IIFL,100,320.05,313.25,31325,-680,-2.12,-1.62
INCRED-N2,100,0,995,99500,0,0,0
INDOBORAX,100,203.8,101.25,10125,-10255,-50.32,-0.1
INFY,10,1400,1444.5,14445,445,3.18,-0.38
JUNIORBEES,221,448.56,377.19,83358.99,-15771.81,-15.91,-1.45
KAJARIACER,35,1350.95,920,32200,-15083.25,-31.9,-1.18
KANCHI,25,899.04,585,14625,-7850.95,-34.93,0.35
KOTAKBANK,185,1779.04,1660.5,307192.5,-21929.1,-6.66,-1.25
LIQUIDBEES,137,984.73,999.99,136998.63,2091.02,1.55,0
LT,24,2008.4,1470.55,35293.2,-12908.4,-26.78,-2.01
LUXIND,10,3631.87,1725,17250,-19068.65,-52.5,-2.86
MOTHERSON,3500,141,116,406000,-87500,-17.73,-2.52
MOTILALOFS,70,910,730,51100,-12600,-19.78,-2.57
NAZARA,42,2533.14,1045.1,43894.2,-62497.55,-58.74,1.48
NIFTYBEES,806,188.1,168.31,135657.86,-15954.09,-10.52,-1.15
POLYCAB,18,2668.97,2094.3,37697.4,-10344.05,-21.53,-1.1
POLYPLEX,21,1683.33,2005.1,42107.1,6757.1,19.11,1.09
PRAJIND,56,444.39,342.3,19168.8,-5717.25,-22.97,-1.21
RADICO,22,905,788,17336,-2574,-12.93,-2.34
ROSSARI,25,1400,875.55,21888.75,-13111.25,-37.46,1.68
TATAMOTORS,55,295,395.2,21736,5511,33.97,-0.6
TIINDIA,27,1801.95,1549.5,41836.5,-6816.15,-14.01,-0.12
VBL,60,595,736.25,44175,8475,23.74,-0.53
WELSPUNIND,450,152.75,68.9,31005,-37732.1,-54.89,0.58
YASHO,130,1771.23,1322,171860,-58400,-25.36,1.81
