,Name,Percent_Change
0,BCG,-0.5099926428018162
0,DHANI,-0.4112060949369079
0,VEDL,-0.27266923954914274
0,NATIONALUM,-0.2622175951395105
0,VMART,-0.25455783477741545
0,HIKAL,-0.25283130018184397
0,GUJGASLTD,-0.2344480790221996
0,STARHEALTH,-0.23332837577887283
0,JSWENERGY,-0.2325540738846145
0,TANLA,-0.22283122283122284
0,DELTACORP,-0.21561664667589245
0,GRINFRA,-0.21430861417037897
0,CHAMBLFERT,-0.2114080226882121
0,SPICEJET,-0.20954361263380245
0,TRIDENT,-0.20915711543464646
0,HINDALCO,-0.20827831504011698
0,SCI,-0.20191904260614263
0,FACT,-0.19999998759448043
0,RBLBANK,-0.19956140350877194
0,GAEL,-0.18349022314834723
0,NLCINDIA,-0.18320612984006712
0,LXCHEM,-0.18127056405875097
0,JUSTDIAL,-0.18036476678679725
0,NIACL,-0.17638194021867148
0,WOCKPHARMA,-0.17516754274988822
0,HINDZINC,-0.17499156495333776
0,DBL,-0.17312986384012294
0,RCF,-0.1728778179299462
0,TATASTEEL,-0.17146401638092884
0,LAURUSLABS,-0.17066451648236644
0,JINDALSTEL,-0.16655901324160802
0,GSPL,-0.16477168335870485
0,GUJALKALI,-0.16075591615571852
0,UPL,-0.16030926351534272
0,MASTEK,-0.1565560833998558
0,LUXIND,-0.1563572558531597
0,VARROC,-0.15403691054464333
0,METROPOLIS,-0.15224868692815335
0,HINDCOPPER,-0.1520894197649064
0,JKPAPER,-0.15097922529956245
0,TRIVENI,-0.14998220261018247
0,SHREECEM,-0.14954766309629144
0,SAREGAMA,-0.14757074331434916
0,LATENTVIEW,-0.1448870977396472
0,TATACHEM,-0.14348122116057582
0,APOLLOTYRE,-0.1425000277432527
0,NBCC,-0.1418020518000977
0,CLEAN,-0.14167976966685378
0,NETWORK18,-0.14080660064120298
0,KPRMILL,-0.13868670025114666
0,SYMPHONY,-0.1384292444407448
0,ANGELONE,-0.1382592300640935
0,JKCEMENT,-0.13694849387886598
0,TATAINVEST,-0.136305264945229
0,LICHSGFIN,-0.13623868461206304
0,JUBLPHARMA,-0.13620734801200582
0,MEDPLUS,-0.13554430958971314
0,TECHM,-0.13470789329292848
0,ALLCARGO,-0.13448542904310684
0,BANDHANBNK,-0.13440118319746377
0,IBULHSGFIN,-0.13396931660752373
0,SOLARA,-0.13297196521664711
0,JSL,-0.13243595134970712
0,APTUS,-0.13238920631481216
0,GRAPHITE,-0.1305075292805354
0,AMBER,-0.1295099951186727
0,ADANIGREEN,-0.1294587592778889
0,ATGL,-0.12917551650897857
0,AAVAS,-0.12780497228880683
0,POLICYBZR,-0.12544413245058436
0,INFIBEAM,-0.12541251923243243
0,KAJARIACER,-0.12480195858620531
0,VIJAYA,-0.124800847685279
0,LTTS,-0.12440741093290553
0,EQUITAS,-0.12403100775193798
0,IDBI,-0.12239225125176714
0,ICICIGI,-0.12167712474520201
0,NCC,-0.1215999755859375
0,ABCAPITAL,-0.12116859522021363
0,INDUSINDBK,-0.12038027209735687
0,IDFCFIRSTB,-0.11934162408142458
0,BSE,-0.11872276893028846
0,IRCTC,-0.118112470823684
0,MAZDOCK,-0.11755377042133629
0,GODFRYPHLP,-0.11483341772027197
0,BIRLACORPN,-0.11433611711466994
0,GODREJIND,-0.11428861652088004
0,SEQUENT,-0.11416785171227944
0,STLTECH,-0.11373578505158397
0,ABFRL,-0.11309637438371808
0,TATASTLLP,-0.11307101067429724
